             1     -0.421404     -0.421404             0
             2     -0.413063     -0.417233    0.00294883
             3     -0.373861     -0.402776     0.0119669
             4     -0.387432      -0.39894     0.0095703
             5     -0.382195     -0.395591    0.00822134
             6     -0.450689     -0.404774     0.0108263
             7     -0.400084     -0.404104    0.00930043
             8     -0.404595     -0.404165    0.00813808
             9     -0.387301     -0.402292    0.00744644
            10     -0.408961     -0.402958     0.0067316
            11     -0.364278     -0.399442     0.0069779
            12     -0.369356     -0.396935      0.006832
            13     -0.375816      -0.39531    0.00649673
            14     -0.353957     -0.392357    0.00667047
            15     -0.410061     -0.393537    0.00632933
            16     -0.414323     -0.394836    0.00606561
            17     -0.420087     -0.396321    0.00588787
            18     -0.377549     -0.395278    0.00565237
            19     -0.349462     -0.392867    0.00584667
            20     -0.404287     -0.393438    0.00558215
            21     -0.375721     -0.392594    0.00537971
            22      -0.39854     -0.392865    0.00514197
            23     -0.382477     -0.392413     0.0049382
            24     -0.391814     -0.392388     0.0047325
            25     -0.384061     -0.392055    0.00455491
            26     -0.398235     -0.392293    0.00438592
            27     -0.353295     -0.390848    0.00445495
            28     -0.375961     -0.390317    0.00432746
            29     -0.372104     -0.389689    0.00422356
            30     -0.380561     -0.389384    0.00409372
            31     -0.388337     -0.389351     0.0039618
            32     -0.431046     -0.390654     0.0040466
            33     -0.408052     -0.391181    0.00395817
            34     -0.393783     -0.391257    0.00384249
            35     -0.412314     -0.391859    0.00377951
            36      -0.40481     -0.392219    0.00369161
            37       -0.4274      -0.39317    0.00371227
            38     -0.434461     -0.394256    0.00377026
            39     -0.440525     -0.395443    0.00385573
            40     -0.485191     -0.397686     0.0043636
            41     -0.407862     -0.397934    0.00426423
            42     -0.381844     -0.397551    0.00417987
            43     -0.391066     -0.397401    0.00408538
            44     -0.410431     -0.397697    0.00400325
            45     -0.409648     -0.397962    0.00392309
            46     -0.412962     -0.398288    0.00385134
            47     -0.399104     -0.398306    0.00376943
            48     -0.395556     -0.398248    0.00369134
            49     -0.453981     -0.399386    0.00378719
            50     -0.413492     -0.399668    0.00372194
