       callPrice	       callError	        putPrice	        putError	
         15.4166	               0	         5.41355	               0	
         15.0853	        0.331264	           5.379	       0.0345539	
         14.7607	         0.37679	         5.43468	       0.0591518	
         14.9118	        0.306315	         5.36334	       0.0826997	
           15.07	        0.285171	         5.38012	       0.0662204	
         15.1444	        0.244432	         5.31782	       0.0824951	
         15.1033	        0.210635	         5.33779	       0.0725263	
         15.1104	        0.182553	         5.32263	       0.0646141	
         15.0083	         0.19064	         5.35168	       0.0639606	
         14.9578	         0.17781	         5.35149	       0.0572084	
         14.9337	        0.162636	          5.3683	        0.054407	
         14.9277	        0.148587	         5.39833	        0.058039	
         14.8672	        0.149475	         5.40402	       0.0536914	
         14.8867	         0.13975	         5.38241	       0.0542064	
         14.9602	        0.149449	         5.37521	       0.0509741	
         15.0859	         0.18801	         5.35508	       0.0517574	
         15.0919	        0.176705	         5.37008	        0.050881	
         15.0378	        0.175168	         5.38222	       0.0494824	
         15.0108	        0.167876	         5.39206	       0.0478291	
         15.0539	         0.16499	         5.37857	       0.0473384	
          15.049	        0.157012	         5.40164	       0.0505935	
         15.0643	        0.150482	         5.39009	       0.0496008	
         15.0308	        0.147637	         5.39589	       0.0477479	
         15.0679	        0.146137	         5.37511	       0.0502153	
         15.0259	         0.14633	          5.3864	         0.04947	
         14.9851	        0.146386	         5.39932	       0.0492543	
         15.0252	         0.14645	         5.39254	       0.0478771	
         15.0625	        0.145973	         5.38246	       0.0472245	
         15.0296	         0.14464	         5.40056	       0.0490304	
         15.0208	        0.140011	         5.39342	       0.0479027	
          15.038	        0.136507	         5.39257	       0.0463395	
         15.0569	        0.133513	         5.38993	       0.0449457	
         15.0556	        0.129411	         5.40017	       0.0447501	
         15.0315	        0.127836	         5.39377	       0.0438823	
         15.0207	        0.124599	          5.3983	       0.0428498	
         15.0082	        0.121736	         5.39561	       0.0417296	
         14.9995	        0.118717	         5.40084	       0.0409226	
         15.0014	        0.115568	         5.40856	       0.0405717	
          14.963	        0.118945	         5.42531	       0.0429191	
         14.9886	        0.118725	         5.41232	       0.0438023	
         14.9578	        0.119829	         5.42227	       0.0438644	
         14.9575	        0.116941	         5.41862	       0.0429625	
         14.9443	        0.114951	         5.42044	        0.041991	
         14.9256	        0.113848	         5.43001	       0.0421277	
         14.9425	        0.112562	         5.43133	       0.0412019	
         14.9405	        0.110107	         5.43102	       0.0402974	
         14.9344	         0.10791	         5.43473	       0.0396055	
         14.9444	        0.106113	         5.43006	       0.0390522	
         14.9647	        0.105874	         5.42598	        0.038464	
         14.9673	        0.103769	         5.42717	       0.0377056	
         14.9673	        0.101714	         5.42441	       0.0370613	
         14.9517	        0.100939	         5.42237	       0.0363991	
         14.9291	        0.101568	         5.42252	       0.0357061	
         14.9359	       0.0999025	         5.42535	       0.0351523	
         14.9418	       0.0982434	         5.42265	       0.0346124	
         14.9452	       0.0965331	         5.42684	       0.0342452	
         14.9416	       0.0948906	         5.42605	       0.0336483	
         14.9403	       0.0932498	         5.42714	       0.0330811	
         14.9235	       0.0931833	         5.43407	       0.0332442	
          14.925	       0.0916292	         5.43053	       0.0328764	
         14.9205	       0.0902235	         5.42676	       0.0325522	
         14.9137	       0.0890236	         5.43409	        0.032852	
         14.9265	       0.0885394	         5.42481	       0.0336321	
         14.9209	       0.0873258	         5.43076	       0.0336328	
         14.9259	       0.0861152	         5.42787	       0.0332369	
         14.9218	       0.0848993	         5.43127	       0.0329052	
         14.9149	       0.0839032	         5.43349	       0.0324865	
          14.916	       0.0826668	         5.43313	       0.0320072	
         14.9184	        0.081495	         5.42947	       0.0317515	
         14.9215	       0.0803841	         5.42295	       0.0319669	
         14.9223	       0.0792482	          5.4209	       0.0315795	
         14.9395	       0.0799987	         5.42504	       0.0314112	
          14.942	        0.078936	         5.42704	       0.0310424	
         14.9327	       0.0784194	         5.43504	       0.0316469	
         14.9417	       0.0778943	         5.43267	       0.0313112	
         14.9646	       0.0802006	         5.43267	       0.0308965	
         14.9644	       0.0791525	         5.43456	       0.0305511	
         14.9621	       0.0781641	         5.43818	       0.0303732	
         14.9487	       0.0783318	         5.44247	       0.0302928	
         14.9498	       0.0773538	         5.44877	       0.0305669	
          14.947	       0.0764422	         5.44926	       0.0301912	
         14.9456	       0.0755167	         5.44443	       0.0302095	
         14.9488	       0.0746699	         5.44382	       0.0298496	
         14.9457	       0.0738407	         5.44367	       0.0294925	
         14.9465	       0.0729713	         5.43862	       0.0295769	
         14.9546	       0.0725618	         5.43437	       0.0295386	
         14.9546	        0.071723	          5.4322	       0.0292777	
         14.9576	       0.0709643	         5.43819	        0.029556	
         14.9545	       0.0702294	         5.43928	       0.0292424	
         14.9455	       0.0700326	         5.44618	       0.0297267	
         14.9319	       0.0705658	          5.4525	       0.0300703	
         14.9319	       0.0697946	         5.44705	       0.0302368	
         14.9256	       0.0693316	         5.44707	       0.0299099	
         14.9392	       0.0699387	         5.44476	       0.0296806	
         14.9404	       0.0692088	         5.44444	       0.0293682	
         14.9308	       0.0691597	         5.44894	        0.029407	
         14.9332	       0.0684838	         5.44418	       0.0294888	
         14.9202	       0.0690145	         5.44388	        0.029188	
         14.9267	       0.0686252	         5.44161	       0.0289805	
         14.9138	       0.0691452	         5.44955	       0.0297696	
