        averages	          errors	
        0.500765	               0	
        0.500787	     2.17888e-05	
        0.500069	     0.000718038	
        0.500882	     0.000958537	
         0.50143	     0.000922815	
        0.501975	     0.000929763	
        0.501418	     0.000963119	
        0.501188	     0.000865218	
        0.500957	     0.000797371	
        0.501017	     0.000715731	
        0.501039	     0.000647777	
        0.501206	     0.000614524	
        0.501339	     0.000580723	
        0.501316	     0.000538157	
        0.501089	     0.000550121	
        0.501139	     0.000517019	
        0.500958	     0.000518008	
        0.501088	     0.000505326	
         0.50106	     0.000478835	
         0.50111	     0.000456982	
        0.500983	     0.000452805	
        0.501088	     0.000444283	
        0.500972	     0.000439993	
        0.501168	     0.000464838	
        0.501148	     0.000446343	
        0.501116	     0.000429969	
        0.501176	     0.000418036	
        0.501264	     0.000412398	
        0.501213	      0.00040121	
        0.501131	     0.000396228	
        0.501078	     0.000386842	
        0.501008	     0.000381051	
        0.501013	     0.000369349	
        0.500913	     0.000371837	
        0.500751	     0.000395748	
        0.500689	     0.000389627	
        0.500733	     0.000381485	
        0.500877	     0.000398448	
         0.50097	     0.000398919	
        0.500922	     0.000391679	
        0.500904	      0.00038245	
        0.500913	     0.000373337	
        0.500927	     0.000364828	
        0.500821	     0.000371752	
        0.500896	     0.000371012	
         0.50089	     0.000362915	
        0.500812	     0.000363522	
        0.500754	     0.000360526	
        0.500709	     0.000355983	
        0.500746	     0.000350766	
        0.500777	       0.0003452	
         0.50066	     0.000358005	
        0.500597	     0.000356902	
        0.500588	     0.000350324	
        0.500595	     0.000343957	
        0.500586	     0.000337866	
        0.500545	     0.000334412	
        0.500608	     0.000334436	
        0.500602	     0.000328765	
        0.500524	     0.000332499	
        0.500425	     0.000341762	
        0.500406	     0.000336735	
        0.500333	     0.000339361	
        0.500332	     0.000334017	
        0.500319	     0.000329116	
        0.500272	     0.000327499	
        0.500189	     0.000332891	
        0.500257	     0.000334937	
        0.500235	     0.000330803	
        0.500319	     0.000336761	
        0.500329	      0.00033214	
        0.500305	     0.000328422	
        0.500312	     0.000323979	
        0.500315	     0.000319585	
        0.500286	     0.000316644	
        0.500325	     0.000314882	
        0.500326	     0.000310767	
        0.500296	     0.000308206	
        0.500297	     0.000304282	
        0.500314	     0.000300905	
        0.500348	     0.000299164	
        0.500329	     0.000296131	
         0.50036	     0.000294225	
        0.500369	     0.000290838	
        0.500412	     0.000290586	
        0.500393	     0.000287825	
        0.500388	     0.000284543	
        0.500397	     0.000281447	
        0.500405	     0.000278358	
        0.500356	     0.000279478	
        0.500367	     0.000276614	
        0.500391	     0.000274584	
        0.500368	     0.000272589	
         0.50034	     0.000271065	
        0.500345	     0.000268239	
        0.500342	     0.000265448	
         0.50035	     0.000262843	
        0.500308	     0.000263589	
        0.500344	     0.000263415	
        0.500357	     0.000261065	
