              mu	           sigma	          energy	      acceptance	
         2.03633	         1.93601	         43.4986	               1	
         2.06223	         1.86012	         42.5046	               1	
         2.04472	          1.8164	         39.2068	               1	
         2.04472	          1.8164	         39.2068	            0.75	
         2.04472	          1.8164	         39.2068	             0.6	
         2.04472	          1.8164	         39.2068	             0.5	
         2.04472	          1.8164	         39.2068	        0.428571	
           2.053	         1.81867	         44.9178	             0.5	
         2.11192	         1.74494	         44.1807	        0.555556	
           2.158	         1.68127	         44.8153	             0.6	
          2.1373	         1.69481	         43.2998	        0.636364	
         2.17783	         1.61253	         43.5751	        0.666667	
         2.08601	         1.55409	         32.5472	        0.692308	
         2.03329	         1.45837	         30.2417	        0.714286	
         2.03329	         1.45837	         30.2417	        0.666667	
         1.94663	         1.47926	         26.1729	          0.6875	
         1.94663	         1.47926	         26.1729	        0.647059	
         1.94663	         1.47926	         26.1729	        0.611111	
         1.85149	         1.41853	         20.6668	        0.631579	
         1.85149	         1.41853	         20.6668	             0.6	
         1.80151	         1.36483	         17.2164	        0.619048	
         1.80151	         1.36483	         17.2164	        0.590909	
         1.73345	         1.36196	         15.4786	        0.608696	
         1.73345	         1.36196	         15.4786	        0.583333	
         1.67745	         1.40513	         13.9393	             0.6	
         1.66864	         1.44144	         14.6783	        0.615385	
         1.58859	          1.4991	          13.523	         0.62963	
         1.57663	         1.40372	         11.6792	        0.642857	
         1.53972	         1.31395	         9.21973	        0.655172	
         1.53972	         1.31395	         9.21973	        0.633333	
          1.5772	         1.29081	         10.2297	        0.645161	
         1.55848	         1.34205	         10.0681	         0.65625	
         1.55848	         1.34205	         10.0681	        0.636364	
         1.64204	         1.43499	         13.7132	        0.647059	
         1.66063	         1.37039	         13.3216	        0.657143	
         1.69549	         1.40608	         14.8035	        0.666667	
          1.6806	         1.32805	         13.0283	        0.675676	
         1.72604	         1.25433	         12.9722	        0.684211	
         1.70166	         1.16153	         10.7767	        0.692308	
         1.70166	         1.16153	         10.7767	           0.675	
         1.68623	         1.16415	         10.4547	        0.682927	
         1.68623	         1.16415	         10.4547	        0.666667	
         1.61305	         1.18469	         9.51918	        0.674419	
         1.59095	         1.24174	         9.58371	        0.681818	
         1.51838	         1.29241	          9.2445	        0.688889	
         1.51838	         1.29241	          9.2445	        0.673913	
         1.55157	         1.29526	         9.61699	        0.680851	
         1.55157	         1.29526	         9.61699	        0.666667	
         1.60895	         1.23708	         9.59106	        0.673469	
         1.60895	         1.23708	         9.59106	            0.66	
         1.60741	         1.20049	         956.011	               1	
         1.53312	         1.20207	           772.2	               1	
         1.44283	         1.11537	         552.664	               1	
         1.40041	         1.19099	         548.667	               1	
         1.37663	         1.10191	          454.42	               1	
         1.37663	         1.10191	          454.42	        0.833333	
         1.33809	         1.18275	         452.715	        0.857143	
         1.33809	         1.18275	         452.715	            0.75	
         1.32665	         1.19192	         437.741	        0.777778	
         1.32665	         1.19192	         437.741	             0.7	
         1.32665	         1.19192	         437.741	        0.636364	
         1.24259	         1.19063	         366.305	        0.666667	
         1.24259	         1.19063	         366.305	        0.615385	
