              mu	           sigma	          energy	      acceptance	
         0.77279	        0.608723	        -4407.43	        0.111111	
         0.77279	        0.608723	        -4407.43	        0.107143	
         0.77279	        0.608723	        -4407.43	        0.103448	
         0.77279	        0.608723	        -4407.43	             0.1	
         0.77279	        0.608723	        -4407.43	       0.0967742	
         0.77279	        0.608723	        -4407.43	         0.09375	
         0.77279	        0.608723	        -4407.43	       0.0909091	
         0.77279	        0.608723	        -4407.43	       0.0882353	
         0.77279	        0.608723	        -4407.43	       0.0857143	
         0.77279	        0.608723	        -4407.43	       0.0833333	
         0.77279	        0.608723	        -4407.43	       0.0810811	
         0.77279	        0.608723	        -4407.43	       0.0789474	
         0.77279	        0.608723	        -4407.43	       0.0769231	
         0.77279	        0.608723	        -4407.43	           0.075	
         0.77279	        0.608723	        -4407.43	       0.0731707	
         0.77279	        0.608723	        -4407.43	       0.0714286	
         0.77279	        0.608723	        -4407.43	       0.0697674	
         0.77279	        0.608723	        -4407.43	       0.0681818	
         0.77279	        0.608723	        -4407.43	       0.0666667	
         0.77279	        0.608723	        -4407.43	       0.0652174	
         0.77279	        0.608723	        -4407.43	       0.0638298	
         0.77279	        0.608723	        -4407.43	          0.0625	
        0.829468	        0.599947	        -4416.93	       0.0816327	
        0.829468	        0.599947	        -4416.93	            0.08	
        0.829468	        0.599947	         -441693	               0	
        0.829468	        0.599947	         -441693	               0	
        0.829468	        0.599947	         -441693	               0	
        0.829468	        0.599947	         -441693	               0	
        0.829468	        0.599947	         -441693	               0	
        0.829468	        0.599947	         -441693	               0	
        0.829468	        0.599947	         -441693	               0	
        0.829468	        0.599947	         -441693	               0	
        0.829468	        0.599947	         -441693	               0	
        0.829468	        0.599947	         -441693	               0	
        0.829468	        0.599947	         -441693	               0	
        0.829468	        0.599947	         -441693	               0	
        0.829468	        0.599947	         -441693	               0	
        0.829468	        0.599947	         -441693	               0	
        0.829468	        0.599947	         -441693	               0	
        0.829468	        0.599947	         -441693	               0	
        0.829468	        0.599947	         -441693	               0	
        0.829468	        0.599947	         -441693	               0	
        0.829468	        0.599947	         -441693	               0	
        0.829468	        0.599947	         -441693	               0	
        0.829468	        0.599947	         -441693	               0	
        0.829468	        0.599947	         -441693	               0	
        0.829468	        0.599947	         -441693	               0	
        0.829468	        0.599947	         -441693	               0	
        0.829468	        0.599947	         -441693	               0	
        0.829468	        0.599947	         -441693	               0	
        0.829468	        0.599947	         -441693	               0	
        0.829468	        0.599947	         -441693	               0	
        0.829468	        0.599947	         -441693	               0	
        0.829468	        0.599947	         -441693	               0	
        0.829468	        0.599947	         -441693	               0	
        0.829468	        0.599947	         -441693	               0	
        0.829468	        0.599947	         -441693	               0	
        0.829468	        0.599947	         -441693	               0	
        0.829468	        0.599947	         -441693	               0	
        0.829468	        0.599947	         -441693	               0	
        0.829468	        0.599947	         -441693	               0	
        0.829468	        0.599947	         -441693	               0	
        0.829468	        0.599947	         -441693	               0	
        0.829468	        0.599947	         -441693	               0	
        0.829468	        0.599947	         -441693	               0	
        0.829468	        0.599947	         -441693	               0	
        0.829468	        0.599947	         -441693	               0	
        0.829468	        0.599947	         -441693	               0	
        0.829468	        0.599947	         -441693	               0	
        0.829468	        0.599947	         -441693	               0	
        0.829468	        0.599947	         -441693	               0	
        0.829468	        0.599947	         -441693	               0	
        0.829468	        0.599947	         -441693	               0	
        0.829468	        0.599947	         -441693	               0	
